날짜,요일,역번호,역명,구분,05~06,06~07,07~08,08~09,09~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24,24~
2020-01-01,2,240,신촌,하차,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2020-01-01,2,241,이대,승차,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,241,이대,하차,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-01-01,2,242,아현,승차,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-01-01,2,242,아현,하차,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,243,충정로(경기대입구),승차,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,243,충정로(경기대입구),하차,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2020-01-01,2,244,용답,승차,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-01-01,2,244,용답,하차,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,245,신답,승차,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,245,신답,하차,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,246,신설동,승차,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,246,신설동,하차,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2020-01-01,2,247,도림천,승차,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,247,도림천,하차,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,248,양천구청,승차,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-01-01,2,248,양천구청,하차,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-01-01,2,249,신정네거리,승차,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,2,249,신정네거리,하차,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
